"taxon","clade","node","preceding.node","mass.node","mass.preceding.node","mass.change","edge.length","mass.by.edge"
"Notomys alexis","Notomys alexis",125,3749,35,35,0,11.3,0
"Notomys fuscus","Notomys fuscus",128,3749,35,35,0,11.3,0
"Thomasomys cinereiventer","Thomasomys cinereiventer",281,3389,77,77,0,7.3,0
"Thomasomys eleusis","Thomasomys eleusis",284,3370,77,77,0,7.3,0
"Thomasomys gracilis","Thomasomys gracilis",285,3371,77,77,0,7.3,0
"Thomasomys hylophilus","Thomasomys hylophilus",286,3376,77,77,0,7.3,0
"Thomasomys incanus","Thomasomys incanus",287,3386,77,77,0,7.3,0
"Thomasomys ischyurus","Thomasomys ischyurus",288,3371,77,77,0,7.3,0
"Thomasomys kalinowskii","Thomasomys kalinowskii",289,3388,77,77,0,7.3,0
"Thomasomys notatus","Thomasomys notatus",294,3386,77,77,0,7.3,0
"Thomasomys pyrrhonotus","Thomasomys pyrrhonotus",297,3376,77,77,0,7.3,0
"Thomasomys rhoadsi","Thomasomys rhoadsi",298,3388,77,77,0,7.3,0
"Thomasomys rosalinda","Thomasomys rosalinda",299,3389,77,77,0,7.3,0
"Thomasomys taczanowskii","Thomasomys taczanowskii",301,3370,77,77,0,7.3,0
"Akodon iniscatus","Akodon iniscatus",313,3516,28.7,28.7,0,6.9,0
"Bibimys chacoensis","Bibimys chacoensis",371,3361,28,28,0,0.1,0
"Bibimys torresi","Bibimys torresi",372,3361,28,28,0,0.1,0
"Melanomys robustulus","Melanomys robustulus",417,3495,53.5,53.5,0,5.5,0
"Melanomys zunigae","Melanomys zunigae",418,3495,53.5,53.5,0,5.5,0
"Microryzomys altissimus","Microryzomys altissimus",419,3451,13.5,13.5,0,3.4,0
"Microryzomys minutus","Microryzomys minutus",420,3451,13.5,13.5,0,3.4,0
"Oecomys roberti","Oecomys roberti",436,3552,73.4,73.4,0,4.8,0
"Oecomys superans","Oecomys superans",439,3551,73.4,73.4,0,4.8,0
"Oecomys trinitatis","Oecomys trinitatis",440,3552,73.4,73.4,0,4.8,0
"Oryzomys albigularis","Oryzomys albigularis",454,3411,60.5,60.5,0,8.6,0
"Oryzomys levipes","Oryzomys levipes",471,3411,60.5,60.5,0,8.6,0
"Oxymycterus hucucha","Oxymycterus hucucha",488,3342,68,68,0,7.8,0
"Oxymycterus nasutus","Oxymycterus nasutus",491,3342,68,68,0,7.8,0
"Rhipidomys austrinus","Rhipidomys austrinus",500,3428,89,89,0,9.4,0
"Rhipidomys caucensis","Rhipidomys caucensis",501,3435,89,89,0,9.4,0
"Rhipidomys couesi","Rhipidomys couesi",502,3435,89,89,0,9.4,0
"Rhipidomys fulviventer","Rhipidomys fulviventer",503,3434,89,89,0,9.4,0
"Rhipidomys ochrogaster","Rhipidomys ochrogaster",509,3428,89,89,0,9.4,0
"Rhipidomys venustus","Rhipidomys venustus",511,3433,89,89,0,9.4,0
"Scolomys melanops","Scolomys melanops",513,3443,26.5,26.5,0,6.7,0
"Scolomys ucayalensis","Scolomys ucayalensis",514,3443,26.5,26.5,0,6.7,0
"Thalpomys cerradensis","Thalpomys cerradensis",515,3556,24,24,0,3.4,0
"Thalpomys lasiotis","Thalpomys lasiotis",516,3556,24,24,0,3.4,0
"Rheomys mexicanus","Rheomys mexicanus",533,3574,40,40,0,8.2,0
"Rheomys thomasi","Rheomys thomasi",535,3574,40,40,0,8.2,0
"Peromyscus aztecus","Peromyscus aztecus",566,3629,40,40,0,12.2,0
"Peromyscus gymnotis","Peromyscus gymnotis",579,3646,40,40,0,12.2,0
"Peromyscus polius","Peromyscus polius",595,3646,40,40,0,12.2,0
"Peromyscus winkelmanni","Peromyscus winkelmanni",601,3629,40,40,0,12.2,0
"Neotoma angustapalata","Neotoma angustapalata",628,3679,198,198,0,8.7,0
"Neotoma nelsoni","Neotoma nelsoni",639,3680,198,198,0,8.7,0
"Neotoma palatina","Neotoma palatina",640,3680,198,198,0,8.7,0
"Phodopus campbelli","Phodopus campbelli",651,4034,23.4,23.4,0,0.1,0
"Phodopus sungorus","Phodopus sungorus",652,4034,23.4,23.4,0,0.1,0
"Dipodomys venustus","Dipodomys venustus",839,4093,72,72,0,1.8,0
"Dipodomys elephantinus","Dipodomys elephantinus",840,4093,72,72,0,1.8,0
"Pappogeomys zinseri","Pappogeomys zinseri",884,4130,150,150,0,11.4,0
"Pappogeomys fumosus","Pappogeomys fumosus",885,4130,150,150,0,11.4,0
"Proechimys setosus","Proechimys setosus",975,4206,285,285,0,19.4,0
"Proechimys simonsi","Proechimys simonsi",979,4208,285,285,0,19.4,0
"Proechimys oris","Proechimys oris",983,4208,285,285,0,19.4,0
"Proechimys albispinus","Proechimys albispinus",984,4255,285,285,0,19.4,0
"Proechimys bolivianus","Proechimys bolivianus",987,4261,285,285,0,19.4,0
"Proechimys decumanus","Proechimys decumanus",993,4206,285,285,0,19.4,0
"Proechimys gularis","Proechimys gularis",997,4261,285,285,0,19.4,0
"Proechimys hendeei","Proechimys hendeei",998,4255,285,285,0,19.4,0
"Proechimys hoplomyoides","Proechimys hoplomyoides",999,4204,285,285,0,19.4,0
"Proechimys mincae","Proechimys mincae",1001,4205,285,285,0,19.4,0
"Proechimys oconnelli","Proechimys oconnelli",1003,4257,285,285,0,19.4,0
"Proechimys poliopus","Proechimys poliopus",1004,4207,285,285,0,19.4,0
"Proechimys quadruplicatus","Proechimys quadruplicatus",1005,4258,285,285,0,19.4,0
"Proechimys warreni","Proechimys warreni",1009,4258,285,285,0,19.4,0
"Mesomys leniceps","Mesomys leniceps",1040,4266,108,108,0,4.9,0
"Mesomys obscurus","Mesomys obscurus",1041,4265,108,108,0,4.9,0
"Mesomys stimulax","Mesomys stimulax",1042,4266,108,108,0,4.9,0
"Marmota olympus","Marmota olympus",1095,4348,6300,6300,0,1,0
"Marmota vancouverensis","Marmota vancouverensis",1097,4348,6300,6300,0,1,0
"Ochotona macrotis","Ochotona macrotis",1324,4567,260,260,0,3.9,0
"Ochotona roylei","Ochotona roylei",1325,4567,260,260,0,3.9,0
"Macaca assamensis","Macaca assamensis",1359,4611,12000,12000,0,2.7,0
"Macaca thibetana","Macaca thibetana",1360,4611,12000,12000,0,2.7,0
"Trachypithecus cristatus","Trachypithecus cristatus",1393,4645,8350,8350,0,3.9,0
