"Status","Order","Family","Genus","Binomial","Log_mass","Combined_mass","Ancestral.mass","Mass.change"
"extant","Artiodactyla","Cervidae","Cervus","Cervus elaphus",5.25,180187.8,5.24904761904762,0.000952380952380594
"extant","Rodentia","Sciuridae","Protoxerus","Protoxerus stangeri",2.79,621.5,2.788125,0.00187500000000007
"extant","Rodentia","Muridae","Uromys","Uromys neobritanicus",2.79,612.5,2.788125,0.00187500000000007
"extant","Rodentia","Geomyidae","Orthogeomys","Orthogeomys heterodus",2.79,615,2.788125,0.00187500000000007
"extant","Artiodactyla","Cervidae","Cervus","Cervus unicolor",5.25666666666667,180344.433333333,5.24904761904762,0.00761904761904741
"extant","Primates","Cercopithecidae","Papio","Papio hamadryas",4.33,21250.1,4.338,0.00800000000000001
"extant","Rodentia","Muridae","Uromys","Uromys caudimaculatus",2.78,606.75,2.788125,0.00812499999999972
"extant","Rodentia","Muridae","Tachyoryctes","Tachyoryctes macrocephalus",2.78,597,2.788125,0.00812500000000016
"extant","Rodentia","Sciuridae","Spermophilus","Spermophilus fulvus",2.78,596,2.788125,0.00812500000000016
"extant","Rodentia","Sciuridae","Spermophilus","Spermophilus relictus",2.78,600,2.788125,0.00812500000000016
"extant","Rodentia","Geomyidae","Pappogeomys","Pappogeomys gymnurus",2.78,600,2.788125,0.00812500000000016
"extant","Rodentia","Dasyproctidae","Myoprocta","Myoprocta acouchy",2.78,600,2.788125,0.00812500000000016
"extant","Rodentia","Echimyidae","Kannabateomys","Kannabateomys amblyonyx",2.78,600,2.788125,0.00812500000000016
"extant","Artiodactyla","Bovidae","Connochaetes","Connochaetes gnou",5.26,179999,5.24904761904762,0.0109523809523804
"extant","Artiodactyla","Bovidae","Connochaetes","Connochaetes taurinus",5.26,179999,5.24904761904762,0.0109523809523804
"extant","Artiodactyla","Bovidae","Ovis","Ovis ammon",5.26,180000,5.24904761904762,0.0109523809523804
"extant","Rodentia","Bathyergidae","Bathyergus","Bathyergus suillus",2.8,625,2.788125,0.0118749999999999
"extant","Rodentia","Sciuridae","Xerus","Xerus inauris",2.8,624.5,2.788125,0.0118749999999999
"extant","Rodentia","Sciuridae","Sciurus","Sciurus aberti",2.8,624,2.788125,0.0118749999999999
"extant","Rodentia","Echimyidae","Echimys","Echimys saturnus",2.8,626.9,2.788125,0.0118749999999999
"extant","Carnivora","Hyaenidae","Hyaena","Hyaena hyaena",4.615,41705.1,4.60282608695652,0.0121739130434788
"extant","Rodentia","Sciuridae","Epixerus","Epixerus ebii",2.77,592,2.788125,0.0181249999999999
"extant","Rodentia","Sciuridae","Sciurus","Sciurus aureogaster",2.77,595,2.788125,0.0181249999999999
"extant","Rodentia","Echimyidae","Echimys","Echimys grandis",2.77,584,2.788125,0.0181249999999999
"extant","Artiodactyla","Bovidae","Alcelaphus","Alcelaphus buselaphus",5.23,171001.5,5.24904761904762,0.019047619047619
"extant","Artiodactyla","Bovidae","Oryx","Oryx gazella",5.23,169001.3,5.24904761904762,0.019047619047619
"extant","Artiodactyla","Bovidae","Sigmoceros","Sigmoceros lichtensteinii",5.23,171498.4,5.24904761904762,0.019047619047619
"extant","Artiodactyla","Bovidae","Boselaphus","Boselaphus tragocamelus",5.23,169000,5.24904761904762,0.019047619047619
"extant","Rodentia","Anomaluridae","Anomalurus","Anomalurus derbianus",2.81,650,2.788125,0.0218750000000001
"extant","Rodentia","Muridae","Cannomys","Cannomys badius",2.81,650,2.788125,0.0218750000000001
"extant","Rodentia","Geomyidae","Orthogeomys","Orthogeomys cavator",2.81,650,2.788125,0.0218750000000001
"extant","Rodentia","Sciuridae","Sciurus","Sciurus arizonensis",2.81,647,2.788125,0.0218750000000001
"extant","Rodentia","Sciuridae","Sciurus","Sciurus oculatus",2.81,650,2.788125,0.0218750000000001
"extant","Rodentia","Echimyidae","Dactylomys","Dactylomys dactylinus",2.81,650,2.788125,0.0218750000000001
"extant","Rodentia","Echimyidae","Echimys","Echimys chrysurus",2.81,652.5,2.788125,0.0218750000000001
"extant","Lagomorpha","Leporidae","Sylvilagus","Sylvilagus brasiliensis",2.98,950,3.00666666666667,0.0266666666666668
"extant","Rodentia","Sciuridae","Spermophilus","Spermophilus beecheyi",2.76,578.5,2.788125,0.0281250000000002
"extant","Artiodactyla","Suidae","Hylochoerus","Hylochoerus meinertzhageni",5.28,188500,5.24904761904762,0.0309523809523808
"extant","Rodentia","Muridae","Uromys","Uromys anak",2.82,664.5,2.788125,0.0318749999999999
"extant","Rodentia","Echimyidae","Echimys","Echimys thomasi",2.75,560.2,2.788125,0.038125
"extant","Rodentia","Sciuridae","Paraxerus","Paraxerus vexillarius",2.83,675,2.788125,0.0418750000000001
"extant","Rodentia","Muridae","Bandicota","Bandicota indica",2.835,719.95,2.788125,0.046875
"extant","Carnivora","Felidae","Uncia","Uncia uncia",4.65,44167,4.60282608695652,0.047173913043479
"extant","Carnivora","Otariidae","Callorhinus","Callorhinus ursinus",4.65,45133,4.60282608695652,0.047173913043479
"extant","Carnivora","Otariidae","Arctocephalus","Arctocephalus australis",4.65,45000,4.60282608695652,0.047173913043479
"extant","Rodentia","Sciuridae","Spermophilus","Spermophilus atricapillus",2.74,551,2.788125,0.0481249999999998
"extant","Rodentia","Caviidae","Cavia","Cavia aperea",2.74,549,2.788125,0.0481249999999998
"extant","Artiodactyla","Bovidae","Oryx","Oryx dammah",5.3,2e+05,5.24904761904762,0.0509523809523804
"extant","Rodentia","Sciuridae","Sciurus","Sciurus nayaritensis",2.84,697,2.788125,0.0518749999999999
"extant","Rodentia","Sciuridae","Spermophilus","Spermophilus variegatus",2.84,691.6,2.788125,0.0518749999999999
"extant","Perissodactyla","Equidae","Equus","Equus grevyi",5.61,407999.8,5.55769230769231,0.0523076923076928
"extant","Lagomorpha","Leporidae","Sylvilagus","Sylvilagus audubonii",2.95,889.6,3.00666666666667,0.0566666666666666
"extant","Rodentia","Muridae","Parahydromys","Parahydromys asper",2.73,540,2.788125,0.058125
"extant","Rodentia","Ctenomyidae","Ctenomys","Ctenomys boliviensis",2.73,535,2.788125,0.058125
"extant","Rodentia","Sciuridae","Paraxerus","Paraxerus lucifer",2.85,700,2.788125,0.0618750000000001
"extant","Rodentia","Sciuridae","Sciurus","Sciurus igniventris",2.85,700,2.788125,0.0618750000000001
"extant","Carnivora","Ursidae","Helarctos","Helarctos malayanus",4.665,46500,4.60282608695652,0.0621739130434786
"extant","Lagomorpha","Leporidae","Sylvilagus","Sylvilagus floridanus",3.07,1172.8,3.00666666666667,0.063333333333333
"extant","Rodentia","Echimyidae","Echimys","Echimys pictus",2.72,519,2.788125,0.0681249999999998
"extant","Artiodactyla","Bovidae","Bubalus","Bubalus quarlesi",5.18,150000,5.24904761904762,0.0690476190476197
"extant","Artiodactyla","Bovidae","Kobus","Kobus ellipsiprymnus",5.32,210000.3,5.24904761904762,0.0709523809523809
"extant","Rodentia","Sciuridae","Xerus","Xerus erythropus",2.86,722.5,2.788125,0.0718749999999999
"extant","Rodentia","Muridae","Mesembriomys","Mesembriomys gouldii",2.86,716.5,2.788125,0.0718749999999999
"extant","Rodentia","Sciuridae","Sciurus","Sciurus griseus",2.86,731,2.788125,0.0718749999999999
"extant","Rodentia","Caviidae","Cavia","Cavia porcellus",2.86,728,2.788125,0.0718749999999999
"extant","Rodentia","Echimyidae","Dactylomys","Dactylomys boliviensis",2.86,728.8,2.788125,0.0718749999999999
"extant","Perissodactyla","Tapiridae","Tapirus","Tapirus bairdii",5.48,299999.1,5.55769230769231,0.0776923076923071
"extant","Primates","Cercopithecidae","Mandrillus","Mandrillus sphinx",4.26,18249.9,4.338,0.0780000000000003
"extant","Rodentia","Muridae","Cricetus","Cricetus cricetus",2.71,510,2.788125,0.078125
"extant","Rodentia","Sciuridae","Hylopetes","Hylopetes fimbriatus",2.71,510,2.788125,0.078125
"extant","Rodentia","Muridae","Anisomys","Anisomys imitator",2.71,510.5,2.788125,0.078125
"extant","Artiodactyla","Cervidae","Elaphurus","Elaphurus davidianus",5.17,149000,5.24904761904762,0.0790476190476195
"extant","Artiodactyla","Bovidae","Tragelaphus","Tragelaphus buxtoni",5.33,215000.8,5.24904761904762,0.0809523809523807
"extant","Artiodactyla","Bovidae","Tragelaphus","Tragelaphus strepsiceros",5.33,213501,5.24904761904762,0.0809523809523807
"extant","Rodentia","Erethizontidae","Sphiggurus","Sphiggurus vestitus",2.87,736,2.788125,0.0818750000000001
"extant","Perissodactyla","Tapiridae","Tapirus","Tapirus indicus",5.47,296250,5.55769230769231,0.0876923076923077
"extant","Rodentia","Geomyidae","Orthogeomys","Orthogeomys cuniculus",2.7,500,2.788125,0.0881249999999998
"extant","Rodentia","Geomyidae","Orthogeomys","Orthogeomys grandis",2.7,500,2.788125,0.0881249999999998
"extant","Rodentia","Geomyidae","Orthogeomys","Orthogeomys hispidus",2.7,500,2.788125,0.0881249999999998
"extant","Rodentia","Geomyidae","Orthogeomys","Orthogeomys lanius",2.7,500,2.788125,0.0881249999999998
"extant","Rodentia","Geomyidae","Zygogeomys","Zygogeomys trichopus",2.7,500,2.788125,0.0881249999999998
"extant","Rodentia","Sciuridae","Sciurus","Sciurus carolinensis",2.7,506.5,2.788125,0.0881249999999998
"extant","Rodentia","Sciuridae","Sciurus","Sciurus colliaei",2.7,498,2.788125,0.0881249999999998
"extant","Rodentia","Sciuridae","Spermophilus","Spermophilus annulatus",2.7,500,2.788125,0.0881249999999998
"extant","Rodentia","Chinchillidae","Chinchilla","Chinchilla brevicaudata",2.7,500,2.788125,0.0881249999999998
"extant","Artiodactyla","Cervidae","Cervus","Cervus duvaucelii",5.16,143000,5.24904761904762,0.0890476190476193
"extant","Rodentia","Muridae","Lophiomys","Lophiomys imhausi",2.88,755,2.788125,0.0918749999999999
"extant","Rodentia","Sciuridae","Sciurus","Sciurus niger",2.88,761.9,2.788125,0.0918749999999999
"extant","Rodentia","Sciuridae","Spermophilus","Spermophilus parryii",2.88,760,2.788125,0.0918749999999999
"extant","Rodentia","Erethizontidae","Sphiggurus","Sphiggurus spinosus",2.88,750.8,2.788125,0.0918749999999999
"extant","Diprotodontia","Macropodidae","Macropus","Macropus rufus",4.67,46250,4.76243902439024,0.0924390243902442
"extant","Carnivora","Hyaenidae","Parahyaena","Parahyaena brunnea",4.51,32200.3,4.60282608695652,0.0928260869565216
"extant","Carnivora","Felidae","Acinonyx","Acinonyx jubatus",4.7,50000,4.60282608695652,0.0971739130434788
"extant","Perissodactyla","Equidae","Equus","Equus zebra",5.46,286998.7,5.55769230769231,0.0976923076923075
"extant","Rodentia","Sciuridae","Sciurus","Sciurus variegatoides",2.69,485,2.788125,0.098125
"extant","Rodentia","Sciuridae","Spermophilus","Spermophilus columbianus",2.69,493,2.788125,0.098125
"extant","Rodentia","Chinchillidae","Chinchilla","Chinchilla lanigera",2.69,485,2.788125,0.098125
"extant","Rodentia","Ctenomyidae","Ctenomys","Ctenomys peruanus",2.69,490,2.788125,0.098125
"extant","Artiodactyla","Camelidae","Lama","Lama glama",5.15,142500,5.24904761904762,0.0990476190476191
"extant","Carnivora","Felidae","Puma","Puma concolor",4.71,51600,4.60282608695652,0.107173913043479
"extant","Primates","Cercopithecidae","Theropithecus","Theropithecus gelada",4.23,17049.8,4.338,0.108
"extant","Rodentia","Caviidae","Galea","Galea musteloides",2.68,480,2.788125,0.108125
"extant","Rodentia","Sciuridae","Sciurus","Sciurus pyrrhinus",2.68,482,2.788125,0.108125
"extant","Artiodactyla","Bovidae","Hippotragus","Hippotragus niger",5.36,227499.3,5.24904761904762,0.110952380952381
"extant","Artiodactyla","Giraffidae","Okapia","Okapia johnstoni",5.36,230001.1,5.24904761904762,0.110952380952381
"extant","Rodentia","Sciuridae","Petinomys","Petinomys fuscocapillus",2.9,794.5,2.788125,0.111875
"extant","Rodentia","Capromyidae","Geocapromys","Geocapromys ingrahami",2.9,800,2.788125,0.111875
"extant","Rodentia","Caviidae","Kerodon","Kerodon rupestris",2.9,800,2.788125,0.111875
"extant","Rodentia","Sciuridae","Sciurus","Sciurus gilvigularis",2.9,803,2.788125,0.111875
"extant","Rodentia","Sciuridae","Sciurus","Sciurus pucheranii",2.9,803,2.788125,0.111875
"extant","Carnivora","Mustelidae","Lontra","Lontra felina",4.49,30600,4.60282608695652,0.112826086956521
"extant","Carnivora","Felidae","Panthera","Panthera pardus",4.71666666666667,52038.2333333333,4.60282608695652,0.113840579710145
"extant","Perissodactyla","Equidae","Equus","Equus burchellii",5.44,276000,5.55769230769231,0.117692307692307
"extant","Perissodactyla","Equidae","Equus","Equus kiang",5.44,275000,5.55769230769231,0.117692307692307
"extant","Rodentia","Muridae","Spalax","Spalax microphthalmus",2.67,470,2.788125,0.118125
"extant","Artiodactyla","Bovidae","Damaliscus","Damaliscus lunatus",5.13,136000.3,5.24904761904762,0.11904761904762
"extant","Artiodactyla","Hippopotamidae","Hexaprotodon","Hexaprotodon liberiensis",5.37,235001.2,5.24904761904762,0.120952380952381
"extant","Artiodactyla","Bovidae","Bubalus","Bubalus mindorensis",5.37,233333.3,5.24904761904762,0.120952380952381
"extant","Rodentia","Muridae","Hyomys","Hyomys goliath",2.91,817.5,2.788125,0.121875
"extant","Rodentia","Muridae","Hydromys","Hydromys chrysogaster",2.665,479.75,2.788125,0.123125
"extant","Carnivora","Canidae","Canis","Canis lupus",4.47666666666667,32183.3333333333,4.60282608695652,0.126159420289855
"extant","Lagomorpha","Leporidae","Sylvilagus","Sylvilagus nuttallii",2.88,755.1,3.00666666666667,0.126666666666667
"extant","Rodentia","Sciuridae","Spermophilus","Spermophilus elegans",2.66,453.6,2.788125,0.128125
"extant","Rodentia","Caviidae","Cavia","Cavia magna",2.66,460,2.788125,0.128125
"extant","Rodentia","Sciuridae","Spermophilus","Spermophilus undulatus",2.92,840,2.788125,0.131875
"extant","Rodentia","Erethizontidae","Echinoprocta","Echinoprocta rufescens",2.92,831.8,2.788125,0.131875
"extant","Rodentia","Caviidae","Galea","Galea flavidens",2.65,450,2.788125,0.138125
"extant","Rodentia","Echimyidae","Isothrix","Isothrix bistriata",2.65,445,2.788125,0.138125
"extant","Artiodactyla","Bovidae","Capra","Capra sibirica",5.11,130000,5.24904761904762,0.139047619047619
"extant","Rodentia","Ctenomyidae","Ctenomys","Ctenomys conoveri",2.93,860,2.788125,0.141875
"extant","Rodentia","Muridae","Bullimus","Bullimus bagobus",2.64,432.5,2.788125,0.148125
"extant","Rodentia","Sciuridae","Sciurus","Sciurus alleni",2.64,434.5,2.788125,0.148125
"extant","Rodentia","Echimyidae","Echimys","Echimys macrurus",2.64,439,2.788125,0.148125
"extant","Rodentia","Echimyidae","Echimys","Echimys unicolor",2.64,439,2.788125,0.148125
"extant","Rodentia","Geomyidae","Orthogeomys","Orthogeomys dariensis",2.64,438,2.788125,0.148125
"extant","Rodentia","Sciuridae","Sciurus","Sciurus stramineus",2.64,433.3,2.788125,0.148125
"extant","Artiodactyla","Cervidae","Cervus","Cervus albirostris",5.1,125000,5.24904761904762,0.14904761904762
"extant","Perissodactyla","Equidae","Equus","Equus caballus",5.4,250000,5.55769230769231,0.157692307692307
"extant","Primates","Cercopithecidae","Mandrillus","Mandrillus leucophaeus",4.18,15000,4.338,0.158
"extant","Rodentia","Sciuridae","Cynomys","Cynomys mexicanus",2.95,900,2.788125,0.161875
"extant","Rodentia","Sciuridae","Cynomys","Cynomys parvidens",2.95,900,2.788125,0.161875
"extant","Rodentia","Muridae","Sundamys","Sundamys infraluteus",2.62,418.5,2.788125,0.168125
"extant","Rodentia","Muridae","Uromys","Uromys rex",2.62,420,2.788125,0.168125
"extant","Rodentia","Geomyidae","Pappogeomys","Pappogeomys merriami",2.62,420,2.788125,0.168125
"extant","Artiodactyla","Camelidae","Lama","Lama guanicoe",5.08,120000,5.24904761904762,0.169047619047619
"extant","Rodentia","Sciuridae","Cynomys","Cynomys leucurus",2.96,908.5,2.788125,0.171875
"extant","Carnivora","Otariidae","Arctocephalus","Arctocephalus galapagoensis",4.43,27000,4.60282608695652,0.172826086956522
"extant","Lagomorpha","Leporidae","Sylvilagus","Sylvilagus palustris",3.18,1500,3.00666666666667,0.173333333333333
"extant","Rodentia","Sciuridae","Spermophilus","Spermophilus richardsonii",2.61,406,2.788125,0.178125
"extant","Rodentia","Sciuridae","Sciurus","Sciurus spadiceus",2.61,403.3,2.788125,0.178125
"extant","Artiodactyla","Bovidae","Hippotragus","Hippotragus equinus",5.43,269997.7,5.24904761904762,0.18095238095238
"extant","Rodentia","Muridae","Hyomys","Hyomys dammermani",2.97,932.5,2.788125,0.181875
"extant","Rodentia","Sciuridae","Cynomys","Cynomys gunnisoni",2.97,925,2.788125,0.181875
"extant","Lagomorpha","Leporidae","Lepus","Lepus townsendii",3.19,1555,3.00666666666667,0.183333333333333
"extant","Lagomorpha","Leporidae","Sylvilagus","Sylvilagus transitionalis",2.82,656.7,3.00666666666667,0.186666666666667
